# Wikidata Lexemes (CC0 1.0), Danish (Q9035) lexemes whose lemma contains a space. Retrieved 2026-09-25 via https://qlever.dev/api/wikidata with:
# SELECT ?l ?lemma ?cat WHERE { ?l dct:language wd:Q9035 ; wikibase:lemma ?lemma ; wikibase:lexicalCategory ?cat . FILTER(CONTAINS(STR(?lemma), " ")) }
<http://www.wikidata.org/entity/L1222844>	"stikke op"@da	<http://www.wikidata.org/entity/Q24905>
<http://www.wikidata.org/entity/L1222846>	"lave en scene"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1222847>	"tage bolig"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1224139>	"en ulykke kommer sjældent alene"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1224269>	"en skrue uden ende"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1225471>	"ikke ville røre nogen med en ildtang"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1225658>	"jyske dollar"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1225659>	"sorte penge"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1226649>	"som man reder ligger man"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1226650>	"så er den ged barberet"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L1226651>	"sommerfugle i maven"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1226652>	"skelet i skabet"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1226661>	"elefanten i rummet"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1227061>	"arbejde som en hest"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1227933>	"Gud og hvermand"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L1229637>	"for øvrigt"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1229638>	"con amore"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1229661>	"al dente"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1229662>	"all right"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1230118>	"rive den af"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1230561>	"dyrke sex"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1233404>	"raison d'etre"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1235779>	"røv og nøgler"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L1235805>	"ryge ud på røv og albuer"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1236628>	"være gak i låget"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1237508>	"high impact"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1238060>	"køb og smid væk-samfund"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1238160>	"new look"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1238210>	"golden goal"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1238228>	"petit mal"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1238261>	"grand mal"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1238370>	"gør det selv-arbejde"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1239165>	"put and take"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1239932>	"svangre- og mødrehjem"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1240542>	"learning by doing"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1241299>	"bygge- og anlægsarbejde"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1241782>	"golden delicious"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1242284>	"novel food"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1242856>	"herbes de Provence"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1243088>	"corpus delicti"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1243378>	"jus practicandi"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1243409>	"low impact"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1243486>	"high society"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1259935>	"brasiliansk portugisisk"@da	<http://www.wikidata.org/entity/Q184511>
